flight_number,date_utc,rocket,payload_mass_kg,launchpad,landing_success
135,2021-09-16T00:02:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
136,2021-11-11T02:03:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
137,2021-11-13T12:40:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
138,2021-11-24T06:20:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
139,2021-12-01T23:20:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
140,2021-12-09T06:00:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
141,2021-12-18T12:41:40.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
142,2021-12-19T03:58:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
143,2021-12-21T10:06:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
144,2022-01-06T21:49:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
145,2022-01-13T15:25:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
146,2022-01-19T00:04:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
147,2022-01-31T23:11:12.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
148,2022-02-02T20:18:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
149,2022-02-03T18:13:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
150,2022-02-21T14:44:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
151,2022-02-25T17:12:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
152,2022-03-03T14:35:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
153,2022-03-09T13:45:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
154,2022-03-19T03:24:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
155,2022-04-01T16:24:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
156,2022-04-08T15:17:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
157,2022-04-17T13:13:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
158,2022-04-21T15:16:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
159,2022-04-27T07:52:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
160,2022-04-29T21:27:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
161,2022-05-06T09:42:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
162,2022-05-13T22:07:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
163,2022-05-14T20:40:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
164,2022-05-18T10:40:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
165,2022-05-25T18:27:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
166,2022-06-08T21:04:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
167,2022-06-01T17:08:50.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
168,2022-06-18T14:19:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
169,2022-06-19T04:27:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
170,2022-06-29T21:04:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
171,2022-07-07T13:11:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
172,2022-07-11T01:39:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509092b78566f87,1.0
173,2022-07-15T00:44:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4502f509094188566f88,1.0
174,2022-07-17T14:50:00.000Z,5e9d0d95eda69973a809d1ec,,5e9e4501f509094ba4566f84,1.0
